"","id","polarity","block","mz","calibrated_mz","calculated_mz","formula"
"X3274_NEG_2_153.019361764789",3274,"NEG",2,153.019329797538,153.019361764789,153.019332219339,"C7 H6 O4"
"X3276_NEG_2_159.066270697947",3276,"NEG",2,159.066231639329,159.066270697947,159.066282412719,"C7 H12 O4"
"X3278_NEG_2_161.060774429765",3278,"NEG",2,161.060737540088,161.060774429765,161.060803109119,"C10 H10 O2"
"X3279_NEG_2_164.035306801865",3279,"NEG",2,164.035269100795,164.035306801865,164.035316636429,"C8 H7 O3 N1"
"X3283_NEG_2_171.102660758809",3283,"NEG",2,171.102632002596,171.102660758809,171.102667922069,"C9 H16 O3"
"X3286_NEG_2_177.055721989852",3286,"NEG",2,177.05568805983,177.055721989852,177.055717728689,"C10 H10 O3"
"X3287_NEG_2_181.050627741974",3287,"NEG",2,181.050604625324,181.050627741974,181.050632348259,"C9 H10 O4"
"X3289_NEG_2_189.030573293321",3289,"NEG",2,189.03054235369,189.030573293321,189.030565608629,"C9 H6 O3 N2"
"X3294_NEG_2_207.051044973546",3294,"NEG",2,207.051034007703,207.051044973546,207.051026271429,"C7 H12 O7"
"X3297_NEG_2_243.062290734115",3297,"NEG",2,243.062291951519,243.062290734115,243.062259660719,"C9 H12 O6 N2"
"X3298_NEG_2_255.232967866092",3298,"NEG",2,255.232989529097,255.232967866092,255.232953818179,"C16 H32 O2"
"X3300_NEG_2_269.212220549285",3300,"NEG",2,269.212249202412,269.212220549285,269.212218373289,"C16 H30 O3"
"X3304_NEG_2_283.264296382116",3304,"NEG",2,283.264317455349,283.264296382116,283.264253947099,"C18 H36 O2"
"X3307_NEG_2_380.976964729359",3307,"NEG",2,380.976841064779,380.976964729359,380.976935098789,"C11 H10 O13 S1"
"X3308_NEG_2_463.160939775053",3308,"NEG",2,463.160542065731,463.160939775053,463.160970645819,"C23 H28 O10"
"X3309_NEG_2_468.160501696256",3309,"NEG",2,468.160082722149,468.160501696256,468.160517152109,"C32 H23 O3 N1"
"X3310_NEG_2_489.140272683139",3310,"NEG",2,489.139911130298,489.140272683139,489.140235200929,"C24 H26 O11"
"X3324_NEG_3_191.107774407544",3324,"NEG",3,191.107767326993,191.107774407544,191.107753302498,"C12 H16 O2"
"X3326_NEG_3_217.065900832895",3326,"NEG",3,217.065910722503,217.065900832895,217.065888489549,"C16 H10 O1"
"X3327_NEG_3_221.081943145464",3327,"NEG",3,221.081954107015,221.081943145464,221.081932477179,"C12 H14 O4"
"X3328_NEG_3_230.155046300766",3328,"NEG",3,230.155069630978,230.155046300766,230.155037848509,"C15 H21 O1 N1"
"X3329_NEG_3_233.103074249557",3329,"NEG",3,233.103100211696,233.103074249557,233.103061845239,"C10 H18 O6"
"X3330_NEG_3_233.154718442705",3330,"NEG",3,233.154745773418,233.154718442705,233.154703495879,"C15 H22 O2"
"X3332_NEG_3_243.062279538775",3332,"NEG",3,243.062305111839,243.062279538775,243.062259660719,"C9 H12 O6 N2"
"X3333_NEG_3_255.232945814034",3333,"NEG",3,255.233004602144,255.232945814034,255.232953818179,"C16 H32 O2"
"X3336_NEG_3_283.264262561325",3336,"NEG",3,283.264332348386,283.264262561325,283.264253947099,"C18 H36 O2"
"X3346_NEG_4_119.025081660665",3346,"NEG",4,119.025041211328,119.025081660665,119.025086305029,"C6 H4 O1 N2"
"X3347_NEG_4_122.024752854151",3347,"NEG",4,122.024725030265,122.024752854151,122.024751952399,"C6 H5 O2 N1"
"X3349_NEG_4_133.029520166312",3349,"NEG",4,133.029479446483,133.029520166312,133.029502980199,"C8 H6 O2"
"X3352_NEG_4_141.01935171163",3352,"NEG",4,141.019319523117,141.01935171163,141.019332219339,"C6 H6 O4"
"X3357_NEG_4_169.050626861407",3357,"NEG",4,169.050598064546,169.050626861407,169.050632348259,"C8 H10 O4"
"X3358_NEG_4_171.102644141823",3358,"NEG",4,171.102616165854,171.102644141823,171.102667922069,"C9 H16 O3"
"X3359_NEG_4_173.045544581252",3359,"NEG",4,173.045516471935,173.045544581252,173.045546967829,"C7 H10 O5"
"X3361_NEG_4_181.050635515235",3361,"NEG",4,181.050609359265,181.050635515235,181.050632348259,"C9 H10 O4"
"X3364_NEG_4_189.019364122526",3364,"NEG",4,189.019338155934,189.019364122526,189.019332219339,"C10 H6 O4"
"X3365_NEG_4_189.055736373965",3365,"NEG",4,189.055716972521,189.055736373965,189.055717728689,"C11 H10 O3"
"X3366_NEG_4_191.035025493333",3366,"NEG",4,191.035004054105,191.035025493333,191.034982283799,"C10 H8 O4"
"X3367_NEG_4_193.050623564896",3367,"NEG",4,193.050602925525,193.050623564896,193.050632348259,"C10 H10 O4"
"X3369_NEG_4_233.103105493872",3369,"NEG",4,233.103095519533,233.103105493872,233.103061845239,"C10 H18 O6"
"X3370_NEG_4_237.06162530852",3370,"NEG",4,237.061612340341,237.06162530852,237.061590955459,"C8 H14 O8"
"X3372_NEG_4_243.062302146666",3372,"NEG",4,243.062300328963,243.062302146666,243.06225966072,"C9 H12 O6 N2"
"X3374_NEG_4_255.232974059557",3374,"NEG",4,255.232999218587,255.232974059557,255.232953818179,"C16 H32 O2"
"X3375_NEG_4_269.212201961144",3375,"NEG",4,269.21224229742,269.212201961144,269.212218373289,"C16 H30 O3"
"X3377_NEG_4_283.264284874405",3377,"NEG",4,283.264322519532,283.264284874405,283.264253947099,"C18 H36 O2"
"X3380_NEG_4_469.15983740925",3380,"NEG",4,469.159991728231,469.15983740925,469.159788876309,"C36 H22 O1"
"X3392_NEG_5_171.102649212538",3392,"NEG",5,171.102622502832,171.102649212538,171.102667922069,"C9 H16 O3"
"X3393_NEG_5_172.040386107077",3393,"NEG",5,172.040360619143,172.040386107077,172.040402016859,"C10 H7 O2 N1"
"X3394_NEG_5_173.118309622005",3394,"NEG",5,173.118288485378,173.118309622005,173.118317986529,"C9 H18 O3"
"X3395_NEG_5_175.040060462034",3395,"NEG",5,175.040038317538,175.040060462034,175.040067664229,"C10 H8 O3"
"X3396_NEG_5_181.050634854223",3396,"NEG",5,181.050610484319,181.050634854223,181.050632348259,"C9 H10 O4"
"X3397_NEG_5_189.055737966431",3397,"NEG",5,189.055722015164,189.055737966431,189.055717728689,"C11 H10 O3"
"X3399_NEG_5_233.103091559221",3399,"NEG",5,233.103091782908,233.103091559221,233.103061845239,"C10 H18 O6"
"X3400_NEG_5_233.154725968558",3400,"NEG",5,233.154737487782,233.154725968558,233.154703495879,"C15 H22 O2"
"X3402_NEG_5_243.062287962542",3402,"NEG",5,243.062301546732,243.062287962542,243.062259660719,"C9 H12 O6 N2"
"X3404_NEG_5_252.996564857284",3404,"NEG",5,252.996618956018,252.996564857284,252.996488774169,"C14 H6 O3 S1"
"X3405_NEG_5_255.232967629354",3405,"NEG",5,255.233003798518,255.232967629354,255.232953818179,"C16 H32 O2"
"X3407_NEG_5_269.212245783559",3407,"NEG",5,269.212283741846,269.212245783559,269.212218373289,"C16 H30 O3"
"X3409_NEG_5_283.264302778698",3409,"NEG",5,283.264322142797,283.264302778698,283.264253947099,"C18 H36 O2"
"X3411_NEG_5_477.140111742677",3411,"NEG",5,477.13942712317,477.140111742677,477.140235200929,"C23 H26 O11"
"X3412_NEG_5_487.139921889607",3412,"NEG",5,487.139405360994,487.139921889607,487.139841277759,"C28 H24 O8"
"X3416_NEG_6_161.060775970443",3416,"NEG",6,161.060742653251,161.060775970443,161.060803109119,"C10 H10 O2"
"X3417_NEG_6_164.035300963846",3417,"NEG",6,164.035271041672,164.035300963846,164.035316636429,"C8 H7 O3 N1"
"X3419_NEG_6_171.102651796255",3419,"NEG",6,171.102625183529,171.102651796255,171.102667922069,"C9 H16 O3"
"X3422_NEG_6_179.071374717524",3422,"NEG",6,179.071347657587,179.071374717524,179.071367793149,"C10 H12 O3"
"X3423_NEG_6_181.050628950273",3423,"NEG",6,181.050604882968,181.050628950273,181.050632348259,"C9 H10 O4"
"X3426_NEG_6_189.055726617682",3426,"NEG",6,189.055718653073,189.055726617682,189.055717728689,"C11 H10 O3"
"X3429_NEG_6_199.018264671239",3429,"NEG",6,199.018235697452,199.018264671239,199.018286847489,"C7 H8 O3 N2 S1"
"X3430_NEG_6_207.051044110628",3430,"NEG",6,207.051023498542,207.051044110628,207.051026271429,"C7 H12 O7"
"X3432_NEG_6_243.06228094216",3432,"NEG",6,243.062292589629,243.06228094216,243.062259660719,"C9 H12 O6 N2"
"X3435_NEG_6_255.232970732561",3435,"NEG",6,255.233001170027,255.232970732561,255.232953818179,"C16 H32 O2"
"X3436_NEG_6_269.212241676311",3436,"NEG",6,269.212276296986,269.212241676311,269.212218373289,"C16 H30 O3"
"X3438_NEG_6_283.264309998185",3438,"NEG",6,283.264325660449,283.264309998185,283.264253947099,"C18 H36 O2"
"X3441_NEG_6_465.16078027835",3441,"NEG",6,465.160230739377,465.16078027835,465.160851504738,"C32 H22 O2 N2"
"X3442_NEG_6_468.160535820272",3442,"NEG",6,468.160051071424,468.160535820272,468.160517152108,"C32 H23 O3 N1"
"X3443_NEG_6_477.140141912241",3443,"NEG",6,477.139425958377,477.140141912241,477.140235200929,"C23 H26 O11"
"X3445_NEG_6_480.139339521856",3445,"NEG",6,480.138783389422,480.139339521856,480.139387784048,"C36 H19 O1 N1"
"X3450_NEG_7_122.024755535855",3450,"NEG",7,122.024723588238,122.024755535855,122.024751952399,"C6 H5 O2 N1"
"X3454_NEG_7_133.029519345767",3454,"NEG",7,133.029481640322,133.029519345767,133.029502980199,"C8 H6 O2"
"X3456_NEG_7_161.060775501068",3456,"NEG",7,161.060737829766,161.060775501068,161.060803109119,"C10 H10 O2"
"X3460_NEG_7_169.050626816311",3460,"NEG",7,169.050592956374,169.050626816311,169.050632348259,"C8 H10 O4"
"X3462_NEG_7_171.102650297549",3462,"NEG",7,171.102618281202,171.102650297549,171.102667922069,"C9 H16 O3"
"X3463_NEG_7_172.040393531787",3463,"NEG",7,172.040362296582,172.040393531787,172.040402016859,"C10 H7 O2 N1"
"X3466_NEG_7_177.055712251855",3466,"NEG",7,177.055682430917,177.055712251855,177.055717728689,"C10 H10 O3"
"X3467_NEG_7_181.050640363489",3467,"NEG",7,181.050611021436,181.050640363489,181.050632348259,"C9 H10 O4"
