feature,formula,intensity,sample_name,orbitrap_id,sample_type,site,transect_location,horizon,HC,OC,C,H,N,O,S,P,AImod,NOSC,DBE_AI,DBE,DBE_C,Class,Class_detailed,Class_chem
X102115_POS_11_189.066,C10 H8 O2 N2,0.019742908,COMP_37,C37_OWC_W_A,OWC-wetland-A,OWC,wetland,A,0.8,0.2,10,8,2,2,0,0,0.7143,0.2,4,8,0.4,condensed aromatic,condensed aromatic,lignin
X102662_POS_12_343.139,C16 H22 O8,10.54643964,COMP_47,C47_OWC_T_B,OWC-transition-B,OWC,transition,B,1.375,0.5,16,22,0,8,0,0,0.1667,-0.375,-2,6,-0.125,unsaturated/lignin,unsaturated/lignin,lignin
X102662_POS_12_343.139,C16 H22 O8,0.291333597,COMP_49,C49_OWC_T_B,OWC-transition-B,OWC,transition,B,1.375,0.5,16,22,0,8,0,0,0.1667,-0.375,-2,6,-0.125,unsaturated/lignin,unsaturated/lignin,lignin
X102662_POS_12_343.139,C16 H22 O8,0.221125531,COMP_50,C50_OWC_T_B,OWC-transition-B,OWC,transition,B,1.375,0.5,16,22,0,8,0,0,0.1667,-0.375,-2,6,-0.125,unsaturated/lignin,unsaturated/lignin,lignin
X102662_POS_12_343.139,C16 H22 O8,0.335715574,COMP_48,C48_OWC_T_B,OWC-transition-B,OWC,transition,B,1.375,0.5,16,22,0,8,0,0,0.1667,-0.375,-2,6,-0.125,unsaturated/lignin,unsaturated/lignin,lignin
X102662_POS_12_343.139,C16 H22 O8,0.663679726,COMP_46,C46_OWC_T_B,OWC-transition-B,OWC,transition,B,1.375,0.5,16,22,0,8,0,0,0.1667,-0.375,-2,6,-0.125,unsaturated/lignin,unsaturated/lignin,lignin
X102665_POS_12_402.176,C18 H27 O9 N1,0.353583364,COMP_19,C19_MSM_U_B,MSM-upland-B,MSM,upland,B,1.5,0.5,18,27,1,9,0,0,0.04,-0.3333,-4,6,-0.2222,aliphatic,aliphatic+N,protein
X102665_POS_12_402.176,C18 H27 O9 N1,7.516461513,COMP_18,C18_MSM_U_B,MSM-upland-B,MSM,upland,B,1.5,0.5,18,27,1,9,0,0,0.04,-0.3333,-4,6,-0.2222,aliphatic,aliphatic+N,protein
X102665_POS_12_402.176,C18 H27 O9 N1,0.2507517,COMP_36,C36_OWC_W_A,OWC-wetland-A,OWC,wetland,A,1.5,0.5,18,27,1,9,0,0,0.04,-0.3333,-4,6,-0.2222,aliphatic,aliphatic+N,protein
X102665_POS_12_402.176,C18 H27 O9 N1,0.203311455,COMP_40,C40_OWC_W_A,OWC-wetland-A,OWC,wetland,A,1.5,0.5,18,27,1,9,0,0,0.04,-0.3333,-4,6,-0.2222,aliphatic,aliphatic+N,protein
X102665_POS_12_402.176,C18 H27 O9 N1,0.177721379,COMP_17,C17_MSM_U_B,MSM-upland-B,MSM,upland,B,1.5,0.5,18,27,1,9,0,0,0.04,-0.3333,-4,6,-0.2222,aliphatic,aliphatic+N,protein
X102665_POS_12_402.176,C18 H27 O9 N1,0.222197236,COMP_32,C32_OWC_T_A,OWC-transition-A,OWC,transition,A,1.5,0.5,18,27,1,9,0,0,0.04,-0.3333,-4,6,-0.2222,aliphatic,aliphatic+N,protein
X102665_POS_12_402.176,C18 H27 O9 N1,10.27589654,COMP_34,C34_OWC_T_A,OWC-transition-A,OWC,transition,A,1.5,0.5,18,27,1,9,0,0,0.04,-0.3333,-4,6,-0.2222,aliphatic,aliphatic+N,protein
X102665_POS_12_402.176,C18 H27 O9 N1,7.340878941,COMP_35,C35_OWC_T_A,OWC-transition-A,OWC,transition,A,1.5,0.5,18,27,1,9,0,0,0.04,-0.3333,-4,6,-0.2222,aliphatic,aliphatic+N,protein
X102665_POS_12_402.176,C18 H27 O9 N1,6.480920375,COMP_31,C31_OWC_T_A,OWC-transition-A,OWC,transition,A,1.5,0.5,18,27,1,9,0,0,0.04,-0.3333,-4,6,-0.2222,aliphatic,aliphatic+N,protein
X102665_POS_12_402.176,C18 H27 O9 N1,0.60599659,COMP_33,C33_OWC_T_A,OWC-transition-A,OWC,transition,A,1.5,0.5,18,27,1,9,0,0,0.04,-0.3333,-4,6,-0.2222,aliphatic,aliphatic+N,protein
X102665_POS_12_402.176,C18 H27 O9 N1,1.370480945,COMP_20,C20_MSM_U_B,MSM-upland-B,MSM,upland,B,1.5,0.5,18,27,1,9,0,0,0.04,-0.3333,-4,6,-0.2222,aliphatic,aliphatic+N,protein
X102665_POS_12_402.176,C18 H27 O9 N1,0.084876036,COMP_38,C38_OWC_W_A,OWC-wetland-A,OWC,wetland,A,1.5,0.5,18,27,1,9,0,0,0.04,-0.3333,-4,6,-0.2222,aliphatic,aliphatic+N,protein
X102665_POS_12_402.176,C18 H27 O9 N1,7.115611763,COMP_37,C37_OWC_W_A,OWC-wetland-A,OWC,wetland,A,1.5,0.5,18,27,1,9,0,0,0.04,-0.3333,-4,6,-0.2222,aliphatic,aliphatic+N,protein
X102665_POS_12_402.176,C18 H27 O9 N1,0.242332814,COMP_16,C16_MSM_U_B,MSM-upland-B,MSM,upland,B,1.5,0.5,18,27,1,9,0,0,0.04,-0.3333,-4,6,-0.2222,aliphatic,aliphatic+N,protein
X103097_POS_13_161.081,C7 H12 O4,0.106357382,COMP_34,C34_OWC_T_A,OWC-transition-A,OWC,transition,A,1.714285714,0.571428571,7,12,0,4,0,0,0,-0.5714,-2,2,-0.2857,aliphatic,aliphatic,amino sugar
X103097_POS_13_161.081,C7 H12 O4,0.121751038,COMP_32,C32_OWC_T_A,OWC-transition-A,OWC,transition,A,1.714285714,0.571428571,7,12,0,4,0,0,0,-0.5714,-2,2,-0.2857,aliphatic,aliphatic,amino sugar
X103097_POS_13_161.081,C7 H12 O4,6.556962245,COMP_27,C27_OWC_U_A,OWC-upland-A,OWC,upland,A,1.714285714,0.571428571,7,12,0,4,0,0,0,-0.5714,-2,2,-0.2857,aliphatic,aliphatic,amino sugar
X103097_POS_13_161.081,C7 H12 O4,2.333867836,COMP_30,C30_OWC_U_A,OWC-upland-A,OWC,upland,A,1.714285714,0.571428571,7,12,0,4,0,0,0,-0.5714,-2,2,-0.2857,aliphatic,aliphatic,amino sugar
X103097_POS_13_161.081,C7 H12 O4,0.120269887,COMP_31,C31_OWC_T_A,OWC-transition-A,OWC,transition,A,1.714285714,0.571428571,7,12,0,4,0,0,0,-0.5714,-2,2,-0.2857,aliphatic,aliphatic,amino sugar
X103097_POS_13_161.081,C7 H12 O4,1.250777194,COMP_33,C33_OWC_T_A,OWC-transition-A,OWC,transition,A,1.714285714,0.571428571,7,12,0,4,0,0,0,-0.5714,-2,2,-0.2857,aliphatic,aliphatic,amino sugar
X103097_POS_13_161.081,C7 H12 O4,0.14530148,COMP_47,C47_OWC_T_B,OWC-transition-B,OWC,transition,B,1.714285714,0.571428571,7,12,0,4,0,0,0,-0.5714,-2,2,-0.2857,aliphatic,aliphatic,amino sugar
X103097_POS_13_161.081,C7 H12 O4,0.035607537,COMP_50,C50_OWC_T_B,OWC-transition-B,OWC,transition,B,1.714285714,0.571428571,7,12,0,4,0,0,0,-0.5714,-2,2,-0.2857,aliphatic,aliphatic,amino sugar
X103097_POS_13_161.081,C7 H12 O4,0.064296692,COMP_35,C35_OWC_T_A,OWC-transition-A,OWC,transition,A,1.714285714,0.571428571,7,12,0,4,0,0,0,-0.5714,-2,2,-0.2857,aliphatic,aliphatic,amino sugar
X103097_POS_13_161.081,C7 H12 O4,0.048143951,COMP_49,C49_OWC_T_B,OWC-transition-B,OWC,transition,B,1.714285714,0.571428571,7,12,0,4,0,0,0,-0.5714,-2,2,-0.2857,aliphatic,aliphatic,amino sugar
X103097_POS_13_161.081,C7 H12 O4,0.124290755,COMP_28,C28_OWC_U_A,OWC-upland-A,OWC,upland,A,1.714285714,0.571428571,7,12,0,4,0,0,0,-0.5714,-2,2,-0.2857,aliphatic,aliphatic,amino sugar
X103097_POS_13_161.081,C7 H12 O4,55.42524604,COMP_48,C48_OWC_T_B,OWC-transition-B,OWC,transition,B,1.714285714,0.571428571,7,12,0,4,0,0,0,-0.5714,-2,2,-0.2857,aliphatic,aliphatic,amino sugar
X103097_POS_13_161.081,C7 H12 O4,0.031527677,COMP_29,C29_OWC_U_A,OWC-upland-A,OWC,upland,A,1.714285714,0.571428571,7,12,0,4,0,0,0,-0.5714,-2,2,-0.2857,aliphatic,aliphatic,amino sugar
X103097_POS_13_161.081,C7 H12 O4,0.057101633,COMP_46,C46_OWC_T_B,OWC-transition-B,OWC,transition,B,1.714285714,0.571428571,7,12,0,4,0,0,0,-0.5714,-2,2,-0.2857,aliphatic,aliphatic,amino sugar
X103097_POS_13_161.081,C7 H12 O4,0.185071416,COMP_26,C26_OWC_U_A,OWC-upland-A,OWC,upland,A,1.714285714,0.571428571,7,12,0,4,0,0,0,-0.5714,-2,2,-0.2857,aliphatic,aliphatic,amino sugar
X103103_POS_13_249.217,C12 H28 O3 N2,0.567048153,COMP_38,C38_OWC_W_A,OWC-wetland-A,OWC,wetland,A,2.333333333,0.25,12,28,2,3,0,0,-0.4118,-1.3333,-5,0,-0.4167,aliphatic,lipid,lipid
X103103_POS_13_249.217,C12 H28 O3 N2,0.753928052,COMP_37,C37_OWC_W_A,OWC-wetland-A,OWC,wetland,A,2.333333333,0.25,12,28,2,3,0,0,-0.4118,-1.3333,-5,0,-0.4167,aliphatic,lipid,lipid
X103103_POS_13_249.217,C12 H28 O3 N2,0.796611978,COMP_36,C36_OWC_W_A,OWC-wetland-A,OWC,wetland,A,2.333333333,0.25,12,28,2,3,0,0,-0.4118,-1.3333,-5,0,-0.4167,aliphatic,lipid,lipid
X103103_POS_13_249.217,C12 H28 O3 N2,12.59691218,COMP_40,C40_OWC_W_A,OWC-wetland-A,OWC,wetland,A,2.333333333,0.25,12,28,2,3,0,0,-0.4118,-1.3333,-5,0,-0.4167,aliphatic,lipid,lipid
X103104_POS_13_281.1,C18 H16 O1 S1,0.133082631,COMP_30,C30_OWC_U_A,OWC-upland-A,OWC,upland,A,0.888888889,0.055555556,18,16,0,1,1,0,0.5758,-0.6667,9,11,0.5,aromatic,aromatic,unsatHC
X103104_POS_13_281.1,C18 H16 O1 S1,0.079792753,COMP_42,C42_OWC_U_B,OWC-upland-B,OWC,upland,B,0.888888889,0.055555556,18,16,0,1,1,0,0.5758,-0.6667,9,11,0.5,aromatic,aromatic,unsatHC
X103104_POS_13_281.1,C18 H16 O1 S1,0.17741148,COMP_29,C29_OWC_U_A,OWC-upland-A,OWC,upland,A,0.888888889,0.055555556,18,16,0,1,1,0,0.5758,-0.6667,9,11,0.5,aromatic,aromatic,unsatHC
X103104_POS_13_281.1,C18 H16 O1 S1,0.205383891,COMP_44,C44_OWC_U_B,OWC-upland-B,OWC,upland,B,0.888888889,0.055555556,18,16,0,1,1,0,0.5758,-0.6667,9,11,0.5,aromatic,aromatic,unsatHC
X103104_POS_13_281.1,C18 H16 O1 S1,9.24852258,COMP_41,C41_OWC_U_B,OWC-upland-B,OWC,upland,B,0.888888889,0.055555556,18,16,0,1,1,0,0.5758,-0.6667,9,11,0.5,aromatic,aromatic,unsatHC
X103104_POS_13_281.1,C18 H16 O1 S1,0.102605861,COMP_28,C28_OWC_U_A,OWC-upland-A,OWC,upland,A,0.888888889,0.055555556,18,16,0,1,1,0,0.5758,-0.6667,9,11,0.5,aromatic,aromatic,unsatHC
X103104_POS_13_281.1,C18 H16 O1 S1,0.052224156,COMP_40,C40_OWC_W_A,OWC-wetland-A,OWC,wetland,A,0.888888889,0.055555556,18,16,0,1,1,0,0.5758,-0.6667,9,11,0.5,aromatic,aromatic,unsatHC
X103104_POS_13_281.1,C18 H16 O1 S1,0.112854833,COMP_45,C45_OWC_U_B,OWC-upland-B,OWC,upland,B,0.888888889,0.055555556,18,16,0,1,1,0,0.5758,-0.6667,9,11,0.5,aromatic,aromatic,unsatHC
X103104_POS_13_281.1,C18 H16 O1 S1,0.169219102,COMP_38,C38_OWC_W_A,OWC-wetland-A,OWC,wetland,A,0.888888889,0.055555556,18,16,0,1,1,0,0.5758,-0.6667,9,11,0.5,aromatic,aromatic,unsatHC
X103104_POS_13_281.1,C18 H16 O1 S1,0.824884826,COMP_26,C26_OWC_U_A,OWC-upland-A,OWC,upland,A,0.888888889,0.055555556,18,16,0,1,1,0,0.5758,-0.6667,9,11,0.5,aromatic,aromatic,unsatHC
X103104_POS_13_281.1,C18 H16 O1 S1,0.063883881,COMP_27,C27_OWC_U_A,OWC-upland-A,OWC,upland,A,0.888888889,0.055555556,18,16,0,1,1,0,0.5758,-0.6667,9,11,0.5,aromatic,aromatic,unsatHC
X103104_POS_13_281.1,C18 H16 O1 S1,0.900805657,COMP_43,C43_OWC_U_B,OWC-upland-B,OWC,upland,B,0.888888889,0.055555556,18,16,0,1,1,0,0.5758,-0.6667,9,11,0.5,aromatic,aromatic,unsatHC
X103104_POS_13_281.1,C18 H16 O1 S1,0.043768262,COMP_36,C36_OWC_W_A,OWC-wetland-A,OWC,wetland,A,0.888888889,0.055555556,18,16,0,1,1,0,0.5758,-0.6667,9,11,0.5,aromatic,aromatic,unsatHC
X103104_POS_13_281.1,C18 H16 O1 S1,0.20865767,COMP_37,C37_OWC_W_A,OWC-wetland-A,OWC,wetland,A,0.888888889,0.055555556,18,16,0,1,1,0,0.5758,-0.6667,9,11,0.5,aromatic,aromatic,unsatHC
X103107_POS_13_307.115,C20 H18 O1 S1,0.340331752,COMP_38,C38_OWC_W_A,OWC-wetland-A,OWC,wetland,A,0.9,0.05,20,18,0,1,1,0,0.5676,-0.7,10,12,0.5,aromatic,aromatic,unsatHC
X103107_POS_13_307.115,C20 H18 O1 S1,0.236934462,COMP_40,C40_OWC_W_A,OWC-wetland-A,OWC,wetland,A,0.9,0.05,20,18,0,1,1,0,0.5676,-0.7,10,12,0.5,aromatic,aromatic,unsatHC
X103107_POS_13_307.115,C20 H18 O1 S1,0.296864879,COMP_37,C37_OWC_W_A,OWC-wetland-A,OWC,wetland,A,0.9,0.05,20,18,0,1,1,0,0.5676,-0.7,10,12,0.5,aromatic,aromatic,unsatHC
X103107_POS_13_307.115,C20 H18 O1 S1,0.305549154,COMP_36,C36_OWC_W_A,OWC-wetland-A,OWC,wetland,A,0.9,0.05,20,18,0,1,1,0,0.5676,-0.7,10,12,0.5,aromatic,aromatic,unsatHC
X103583_POS_14_203.107,C13 H14 O2,0.107062767,COMP_38,C38_OWC_W_A,OWC-wetland-A,OWC,wetland,A,1.076923077,0.153846154,13,14,0,2,0,0,0.5,-0.7692,5,7,0.3846,unsaturated/lignin,unsaturated/lignin,lignin
X103583_POS_14_203.107,C13 H14 O2,0.303681991,COMP_36,C36_OWC_W_A,OWC-wetland-A,OWC,wetland,A,1.076923077,0.153846154,13,14,0,2,0,0,0.5,-0.7692,5,7,0.3846,unsaturated/lignin,unsaturated/lignin,lignin
X103583_POS_14_203.107,C13 H14 O2,0.611000713,COMP_37,C37_OWC_W_A,OWC-wetland-A,OWC,wetland,A,1.076923077,0.153846154,13,14,0,2,0,0,0.5,-0.7692,5,7,0.3846,unsaturated/lignin,unsaturated/lignin,lignin
X103583_POS_14_203.107,C13 H14 O2,15.88331394,COMP_40,C40_OWC_W_A,OWC-wetland-A,OWC,wetland,A,1.076923077,0.153846154,13,14,0,2,0,0,0.5,-0.7692,5,7,0.3846,unsaturated/lignin,unsaturated/lignin,lignin
X103589_POS_14_297.131,C19 H20 O1 S1,2.516146947,COMP_38,C38_OWC_W_A,OWC-wetland-A,OWC,wetland,A,1.052631579,0.052631579,19,20,0,1,1,0,0.4857,-0.8421,8,10,0.4211,unsaturated/lignin,unsaturated/lignin,unsatHC
X103589_POS_14_297.131,C19 H20 O1 S1,112.9770723,COMP_37,C37_OWC_W_A,OWC-wetland-A,OWC,wetland,A,1.052631579,0.052631579,19,20,0,1,1,0,0.4857,-0.8421,8,10,0.4211,unsaturated/lignin,unsaturated/lignin,unsatHC
X103589_POS_14_297.131,C19 H20 O1 S1,0.088912715,COMP_36,C36_OWC_W_A,OWC-wetland-A,OWC,wetland,A,1.052631579,0.052631579,19,20,0,1,1,0,0.4857,-0.8421,8,10,0.4211,unsaturated/lignin,unsaturated/lignin,unsatHC
X103589_POS_14_297.131,C19 H20 O1 S1,0.147857911,COMP_40,C40_OWC_W_A,OWC-wetland-A,OWC,wetland,A,1.052631579,0.052631579,19,20,0,1,1,0,0.4857,-0.8421,8,10,0.4211,unsaturated/lignin,unsaturated/lignin,unsatHC
X103765_POS_15_257.138,C13 H20 O5,0.038542248,COMP_50,C50_OWC_T_B,OWC-transition-B,OWC,transition,B,1.538461538,0.384615385,13,20,0,5,0,0,0.1429,-0.7692,-1,4,-0.0769,aliphatic,aliphatic,protein
X103765_POS_15_257.138,C13 H20 O5,0.132460444,COMP_46,C46_OWC_T_B,OWC-transition-B,OWC,transition,B,1.538461538,0.384615385,13,20,0,5,0,0,0.1429,-0.7692,-1,4,-0.0769,aliphatic,aliphatic,protein
X103765_POS_15_257.138,C13 H20 O5,60.30984064,COMP_40,C40_OWC_W_A,OWC-wetland-A,OWC,wetland,A,1.538461538,0.384615385,13,20,0,5,0,0,0.1429,-0.7692,-1,4,-0.0769,aliphatic,aliphatic,protein
X103765_POS_15_257.138,C13 H20 O5,0.330285863,COMP_36,C36_OWC_W_A,OWC-wetland-A,OWC,wetland,A,1.538461538,0.384615385,13,20,0,5,0,0,0.1429,-0.7692,-1,4,-0.0769,aliphatic,aliphatic,protein
X103765_POS_15_257.138,C13 H20 O5,70.09852643,COMP_38,C38_OWC_W_A,OWC-wetland-A,OWC,wetland,A,1.538461538,0.384615385,13,20,0,5,0,0,0.1429,-0.7692,-1,4,-0.0769,aliphatic,aliphatic,protein
X103765_POS_15_257.138,C13 H20 O5,0.301998331,COMP_47,C47_OWC_T_B,OWC-transition-B,OWC,transition,B,1.538461538,0.384615385,13,20,0,5,0,0,0.1429,-0.7692,-1,4,-0.0769,aliphatic,aliphatic,protein
X103765_POS_15_257.138,C13 H20 O5,0.166490756,COMP_49,C49_OWC_T_B,OWC-transition-B,OWC,transition,B,1.538461538,0.384615385,13,20,0,5,0,0,0.1429,-0.7692,-1,4,-0.0769,aliphatic,aliphatic,protein
X103765_POS_15_257.138,C13 H20 O5,6.517405176,COMP_48,C48_OWC_T_B,OWC-transition-B,OWC,transition,B,1.538461538,0.384615385,13,20,0,5,0,0,0.1429,-0.7692,-1,4,-0.0769,aliphatic,aliphatic,protein
X103765_POS_15_257.138,C13 H20 O5,0.907939249,COMP_37,C37_OWC_W_A,OWC-wetland-A,OWC,wetland,A,1.538461538,0.384615385,13,20,0,5,0,0,0.1429,-0.7692,-1,4,-0.0769,aliphatic,aliphatic,protein
X103823_POS_16_311.185,C17 H26 O5,0.259582858,COMP_38,C38_OWC_W_A,OWC-wetland-A,OWC,wetland,A,1.529411765,0.294117647,17,26,0,5,0,0,0.1724,-0.9412,0,5,0,aliphatic,aliphatic,lipid
X103823_POS_16_311.185,C17 H26 O5,0.16006186,COMP_40,C40_OWC_W_A,OWC-wetland-A,OWC,wetland,A,1.529411765,0.294117647,17,26,0,5,0,0,0.1724,-0.9412,0,5,0,aliphatic,aliphatic,lipid
X103823_POS_16_311.185,C17 H26 O5,0.272088446,COMP_37,C37_OWC_W_A,OWC-wetland-A,OWC,wetland,A,1.529411765,0.294117647,17,26,0,5,0,0,0.1724,-0.9412,0,5,0,aliphatic,aliphatic,lipid
X103823_POS_16_311.185,C17 H26 O5,0.584050947,COMP_46,C46_OWC_T_B,OWC-transition-B,OWC,transition,B,1.529411765,0.294117647,17,26,0,5,0,0,0.1724,-0.9412,0,5,0,aliphatic,aliphatic,lipid
X103823_POS_16_311.185,C17 H26 O5,2.164126574,COMP_36,C36_OWC_W_A,OWC-wetland-A,OWC,wetland,A,1.529411765,0.294117647,17,26,0,5,0,0,0.1724,-0.9412,0,5,0,aliphatic,aliphatic,lipid
X103823_POS_16_311.185,C17 H26 O5,0.089791721,COMP_49,C49_OWC_T_B,OWC-transition-B,OWC,transition,B,1.529411765,0.294117647,17,26,0,5,0,0,0.1724,-0.9412,0,5,0,aliphatic,aliphatic,lipid
X103823_POS_16_311.185,C17 H26 O5,0.185490103,COMP_50,C50_OWC_T_B,OWC-transition-B,OWC,transition,B,1.529411765,0.294117647,17,26,0,5,0,0,0.1724,-0.9412,0,5,0,aliphatic,aliphatic,lipid
X103823_POS_16_311.185,C17 H26 O5,0.159579605,COMP_47,C47_OWC_T_B,OWC-transition-B,OWC,transition,B,1.529411765,0.294117647,17,26,0,5,0,0,0.1724,-0.9412,0,5,0,aliphatic,aliphatic,lipid
X103823_POS_16_311.185,C17 H26 O5,15.56014633,COMP_48,C48_OWC_T_B,OWC-transition-B,OWC,transition,B,1.529411765,0.294117647,17,26,0,5,0,0,0.1724,-0.9412,0,5,0,aliphatic,aliphatic,lipid
X103824_POS_16_319.19,C19 H26 O4,1.324519601,COMP_40,C40_OWC_W_A,OWC-wetland-A,OWC,wetland,A,1.368421053,0.210526316,19,26,0,4,0,0,0.2941,-0.9474,3,7,0.1579,unsaturated/lignin,unsaturated/lignin,lignin
X103824_POS_16_319.19,C19 H26 O4,1.141339883,COMP_38,C38_OWC_W_A,OWC-wetland-A,OWC,wetland,A,1.368421053,0.210526316,19,26,0,4,0,0,0.2941,-0.9474,3,7,0.1579,unsaturated/lignin,unsaturated/lignin,lignin
