feature,formula,intensity,sample_name,orbitrap_id,sample_type,site,transect_location,horizon,HC,OC,C,H,N,O,S,P,AImod,NOSC,DBE_AI,DBE,DBE_C,Class,Class_detailed,Class_chem
X100014_POS_13_284.149,C14 H21 O5 N1,0.7153716,COMP_37,C37_OWC_W_A,OWC-wetland-A,OWC,wetland,A,1.5,0.357142857,14,21,1,5,0,0,0.1429,-0.5714,-1,5,-0.0714,aliphatic,aliphatic+N,protein
X100014_POS_13_284.149,C14 H21 O5 N1,27.15983857,COMP_40,C40_OWC_W_A,OWC-wetland-A,OWC,wetland,A,1.5,0.357142857,14,21,1,5,0,0,0.1429,-0.5714,-1,5,-0.0714,aliphatic,aliphatic+N,protein
X100014_POS_13_284.149,C14 H21 O5 N1,0.190068129,COMP_36,C36_OWC_W_A,OWC-wetland-A,OWC,wetland,A,1.5,0.357142857,14,21,1,5,0,0,0.1429,-0.5714,-1,5,-0.0714,aliphatic,aliphatic+N,protein
X100014_POS_13_284.149,C14 H21 O5 N1,1.98248968,COMP_38,C38_OWC_W_A,OWC-wetland-A,OWC,wetland,A,1.5,0.357142857,14,21,1,5,0,0,0.1429,-0.5714,-1,5,-0.0714,aliphatic,aliphatic+N,protein
X100479_POS_14_312.18,C16 H25 O5 N1,0.45232861,COMP_38,C38_OWC_W_A,OWC-wetland-A,OWC,wetland,A,1.5625,0.3125,16,25,1,5,0,0,0.12,-0.75,-1,5,-0.0625,aliphatic,aliphatic+N,protein
X100479_POS_14_312.18,C16 H25 O5 N1,1.532131871,COMP_36,C36_OWC_W_A,OWC-wetland-A,OWC,wetland,A,1.5625,0.3125,16,25,1,5,0,0,0.12,-0.75,-1,5,-0.0625,aliphatic,aliphatic+N,protein
X100479_POS_14_312.18,C16 H25 O5 N1,0.174629927,COMP_37,C37_OWC_W_A,OWC-wetland-A,OWC,wetland,A,1.5625,0.3125,16,25,1,5,0,0,0.12,-0.75,-1,5,-0.0625,aliphatic,aliphatic+N,protein
X100479_POS_14_312.18,C16 H25 O5 N1,0.616122324,COMP_40,C40_OWC_W_A,OWC-wetland-A,OWC,wetland,A,1.5625,0.3125,16,25,1,5,0,0,0.12,-0.75,-1,5,-0.0625,aliphatic,aliphatic+N,protein
X100712_POS_15_228.159,C12 H21 O3 N1,0.858940468,COMP_37,C37_OWC_W_A,OWC-wetland-A,OWC,wetland,A,1.75,0.25,12,21,1,3,0,0,0.0526,-1,-1,3,-0.0833,aliphatic,aliphatic+N,lipid
X100712_POS_15_228.159,C12 H21 O3 N1,3.260126176,COMP_38,C38_OWC_W_A,OWC-wetland-A,OWC,wetland,A,1.75,0.25,12,21,1,3,0,0,0.0526,-1,-1,3,-0.0833,aliphatic,aliphatic+N,lipid
X100712_POS_15_228.159,C12 H21 O3 N1,0.890568128,COMP_40,C40_OWC_W_A,OWC-wetland-A,OWC,wetland,A,1.75,0.25,12,21,1,3,0,0,0.0526,-1,-1,3,-0.0833,aliphatic,aliphatic+N,lipid
X100712_POS_15_228.159,C12 H21 O3 N1,0.124200532,COMP_36,C36_OWC_W_A,OWC-wetland-A,OWC,wetland,A,1.75,0.25,12,21,1,3,0,0,0.0526,-1,-1,3,-0.0833,aliphatic,aliphatic+N,lipid
X100785_POS_17_285.206,C16 H28 O4,0.046344685,COMP_47,C47_OWC_T_B,OWC-transition-B,OWC,transition,B,1.75,0.25,16,28,0,4,0,0,0.0714,-1.25,-1,3,-0.0625,aliphatic,aliphatic,lipid
X100785_POS_17_285.206,C16 H28 O4,2.16404547,COMP_46,C46_OWC_T_B,OWC-transition-B,OWC,transition,B,1.75,0.25,16,28,0,4,0,0,0.0714,-1.25,-1,3,-0.0625,aliphatic,aliphatic,lipid
X100785_POS_17_285.206,C16 H28 O4,0.119617865,COMP_48,C48_OWC_T_B,OWC-transition-B,OWC,transition,B,1.75,0.25,16,28,0,4,0,0,0.0714,-1.25,-1,3,-0.0625,aliphatic,aliphatic,lipid
X100785_POS_17_285.206,C16 H28 O4,3.523864377,COMP_49,C49_OWC_T_B,OWC-transition-B,OWC,transition,B,1.75,0.25,16,28,0,4,0,0,0.0714,-1.25,-1,3,-0.0625,aliphatic,aliphatic,lipid
X100785_POS_17_285.206,C16 H28 O4,0.278754173,COMP_50,C50_OWC_T_B,OWC-transition-B,OWC,transition,B,1.75,0.25,16,28,0,4,0,0,0.0714,-1.25,-1,3,-0.0625,aliphatic,aliphatic,lipid
X101233_POS_10_251.139,C13 H18 O3 N2,0.462352703,COMP_36,C36_OWC_W_A,OWC-wetland-A,OWC,wetland,A,1.384615385,0.230769231,13,18,2,3,0,0,0.2632,-0.4615,1,6,0.0769,unsaturated/lignin,unsaturated/lignin,lignin
X101233_POS_10_251.139,C13 H18 O3 N2,0.123797293,COMP_37,C37_OWC_W_A,OWC-wetland-A,OWC,wetland,A,1.384615385,0.230769231,13,18,2,3,0,0,0.2632,-0.4615,1,6,0.0769,unsaturated/lignin,unsaturated/lignin,lignin
X101233_POS_10_251.139,C13 H18 O3 N2,0.187466576,COMP_38,C38_OWC_W_A,OWC-wetland-A,OWC,wetland,A,1.384615385,0.230769231,13,18,2,3,0,0,0.2632,-0.4615,1,6,0.0769,unsaturated/lignin,unsaturated/lignin,lignin
X101233_POS_10_251.139,C13 H18 O3 N2,0.737005067,COMP_40,C40_OWC_W_A,OWC-wetland-A,OWC,wetland,A,1.384615385,0.230769231,13,18,2,3,0,0,0.2632,-0.4615,1,6,0.0769,unsaturated/lignin,unsaturated/lignin,lignin
X102115_POS_11_189.066,C10 H8 O2 N2,15.31933393,COMP_40,C40_OWC_W_A,OWC-wetland-A,OWC,wetland,A,0.8,0.2,10,8,2,2,0,0,0.7143,0.2,4,8,0.4,condensed aromatic,condensed aromatic,lignin
X102115_POS_11_189.066,C10 H8 O2 N2,1.10176871,COMP_38,C38_OWC_W_A,OWC-wetland-A,OWC,wetland,A,0.8,0.2,10,8,2,2,0,0,0.7143,0.2,4,8,0.4,condensed aromatic,condensed aromatic,lignin
X102115_POS_11_189.066,C10 H8 O2 N2,0.033619983,COMP_36,C36_OWC_W_A,OWC-wetland-A,OWC,wetland,A,0.8,0.2,10,8,2,2,0,0,0.7143,0.2,4,8,0.4,condensed aromatic,condensed aromatic,lignin
