Sample_ID,Abs_250nm_per_unitDOC,Abs_254nm_per_unitDOC,Abs_280nm__per_unitDOC,Abs_350nm_per_unitDOC,Abs_365nm_per_unitDOC,Abs_412nm_per_unitDOC,Abs_440nm_per_unitDOC,C_RSU_per_unitDOC,A_RSU_per_unitDOC,T_RSU_per_unitDOC,B_RSU_per_unitDOC,M_RSU_per_unitDOC,FDOM_RSU_per_unitDOC
COMP 01,0.047081,0.045977,0.045977,0.013225,0.010334,0.0044553,0.0029974,0.1893,0.26999,0.050545,0.038849,0.15104,0.12113
COMP 02,0.047367,0.046239,0.046239,0.013192,0.010269,0.0043292,0.0028669,0.19048,0.27136,0.043314,0.031906,0.15003,0.12305
COMP 03,0.046718,0.04562,0.04562,0.013007,0.010114,0.004222,0.0027861,0.19388,0.27181,0.045676,0.0321,0.15149,0.12638
COMP 04,0.046858,0.045759,0.045759,0.013067,0.010168,0.00427,0.0028402,0.19197,0.27074,0.044382,0.030367,0.14962,0.12377
COMP 05,0.047577,0.046464,0.046464,0.013267,0.010336,0.0043486,0.0028849,0.19259,0.27156,0.048978,0.050764,0.15278,0.12467
COMP 06,0.050282,0.049183,0.049183,0.014885,0.01171,0.0050565,0.0033333,0.18445,0.28206,0.044761,0.038616,0.14912,0.1261
COMP 07,0.049016,0.047939,0.047939,0.014828,0.011715,0.0051637,0.0034669,0.18083,0.27216,0.045508,0.039301,0.14418,0.12284
COMP 08,0.051473,0.05036,0.05036,0.015306,0.012032,0.0051543,0.0033816,0.19301,0.2895,0.045002,0.03494,0.15383,0.13435
COMP 09,0.054017,0.052831,0.052831,0.016616,0.013195,0.0060007,0.0041285,0.17696,0.27202,0.066604,0.074491,0.14366,0.12102
COMP 10,0.054036,0.052872,0.052872,0.016938,0.01346,0.0060707,0.0041202,0.16913,0.25746,0.052578,0.045937,0.13419,0.1166
COMP 11,0.020527,0.019969,0.019969,0.0057704,0.0047096,0.002648,0.0020254,0.10117,0.16062,0.15837,0.15641,0.089566,0.06405
COMP 12,0.01878,0.018195,0.018195,0.0051934,0.0041657,0.0021506,0.0015461,0.098608,0.16114,0.090667,0.079878,0.088129,0.065172
COMP 13,0.018454,0.017838,0.017838,0.0049585,0.0039215,0.0019232,0.0013539,0.10565,0.16794,0.085072,0.076713,0.095482,0.069354
COMP 14,0.018243,0.01765,0.01765,0.00497,0.0039418,0.0019173,0.0013687,0.1003,0.16467,0.092292,0.080896,0.088183,0.066106
COMP 15,0.01915,0.018529,0.018529,0.0052177,0.0041362,0.0020333,0.0014526,0.10594,0.17062,0.087566,0.080231,0.093726,0.070571
COMP 16,0.052926,0.051777,0.051777,0.015826,0.012952,0.0070198,0.0054575,0.13564,0.22123,0.063714,0.18468,0.11002,0.091589
COMP 17,0.052036,0.05082,0.05082,0.014416,0.011346,0.0051263,0.0035827,0.22501,0.36259,0.055918,0.059152,0.17611,0.15894
COMP 18,0.053402,0.052197,0.052197,0.015273,0.012137,0.0056409,0.0039909,0.21573,0.3458,0.050527,0.067015,0.17006,0.15326
COMP 19,0.052168,0.050984,0.050984,0.014713,0.011626,0.0052527,0.0036461,0.2272,0.36794,0.051999,0.049511,0.17818,0.16362
COMP 20,0.056251,0.054991,0.054991,0.016036,0.012765,0.0060282,0.0043126,0.21461,0.35294,0.053211,0.081848,0.17012,0.15192
COMP 21,0.078937,0.07732,0.07732,0.023187,0.019528,0.011418,0.0089549,0.12383,0.21245,0.097428,0.52569,0.10732,0.085486
COMP 22,0.044927,0.043918,0.043918,0.012611,0.010254,0.0052748,0.0039165,0.20191,0.32541,0.063447,0.13285,0.16732,0.13791
COMP 23,0.067031,0.065656,0.065656,0.020259,0.017111,0.010168,0.0080725,0.13796,0.2342,0.0961,0.44059,0.11733,0.095168
COMP 25,0.085375,0.083646,0.083646,0.024597,0.020747,0.012066,0.0094656,0.086042,0.15382,0.099938,0.59238,0.073648,0.060401
