Sample_ID,Sample_Description,SUVA254,S275_295,S275_295_r2,S350_400,S350_400_r2,Sr,E2toE3,FI,HIX,FRESH,BIX
COMP 47,COMP 47,6.1087,0.01264,0.99978,0.015264,0.99831,0.82814,3.9943,1.426,0.76766,0.51574,0.52412
COMP 48,COMP 48,6.31,0.012729,0.9998,0.015407,0.99842,0.82622,4.0389,1.4279,0.77307,0.51629,0.5264
COMP 49,COMP 49,5.189,0.012616,0.99957,0.015697,0.99883,0.80371,4.1525,1.4212,0.78177,0.50546,0.51921
COMP 50,COMP 50,4.8807,0.012803,0.9995,0.015689,0.9993,0.81605,4.2541,1.4157,0.78612,0.49939,0.51049
blank0392,blank0392,1.2744,0.022864,0.99656,0.0040122,0.96215,5.6985,8.767,1.3162,0.048526,0.44191,0.44191
blank0393,blank0393,1.4692,0.022306,0.99943,0.0053157,0.98978,4.1961,9.3039,1.0791,0.076625,0.84806,0.98402
blank0419,blank0419,0.90372,0.023852,0.99892,0.0042591,0.68794,5.6001,11.534,1.2778,0.053519,0.66454,0.89023
blank0420,blank0420,0.82822,0.024658,0.99926,0.0045206,0.61678,5.4546,12.0136,-4.2813,0.048189,0.45861,0.63656
postTea04Oct,postTea04Oct,16.1482,0.031142,0.99321,0.023876,0.99189,1.3044,4.1183,1.4754,0.13746,0.55141,0.5633
postTea05Oct,postTea05Oct,15.839,0.031316,0.99336,0.023986,0.9912,1.3056,4.1326,1.4222,0.14428,0.54192,0.55882
postTea06Oct,postTea06Oct,16.0581,0.031103,0.99327,0.02354,0.99186,1.3213,4.0902,1.5014,0.13644,0.53506,0.56534
postTea11Oct,postTea11Oct,16.0686,0.031076,0.99329,0.023606,0.99152,1.3164,4.0865,1.3671,0.13631,0.53886,0.55054
preTea04Oct22,preTea04Oct22,16.1318,0.031145,0.99321,0.023833,0.99129,1.3068,4.1087,1.3584,0.13541,0.55679,0.57646
preTea05Oct22,preTea05Oct22,15.8961,0.031246,0.99317,0.023809,0.99133,1.3124,4.113,1.2822,0.14046,0.56985,0.57454
preTea06Oct22,preTea06Oct22,16.0764,0.031091,0.99325,0.023629,0.99151,1.3158,4.0932,1.3673,0.13844,0.53203,0.53863
preTea11Oct22,preTea11Oct22,16.152,0.030976,0.99322,0.023457,0.99144,1.3205,4.0838,1.4336,0.14043,0.55222,0.55242
