Sample_ID,Abs_250nm,Abs_254nm,Abs_280nm,Abs_350nm,Abs_365nm,Abs_412nm,Abs_440nm,C_RSU,A_RSU,T_RSU,B_RSU,M_RSU,FDOM_RSU
COMP 01,1.743,1.7021,1.7021,0.48961,0.38257,0.16494,0.11096,7.0078,9.9949,1.8712,1.4382,5.5914,4.4841
COMP 02,1.7701,1.728,1.728,0.493,0.38376,0.16178,0.10714,7.1183,10.1407,1.6187,1.1923,5.6066,4.5985
COMP 03,1.6767,1.6373,1.6373,0.46682,0.36297,0.15153,0.099994,6.9584,9.7551,1.6393,1.1521,5.4368,4.5357
COMP 04,1.7905,1.7485,1.7485,0.49928,0.3885,0.16316,0.10852,7.3352,10.345,1.6958,1.1603,5.717,4.7292
COMP 05,1.9611,1.9152,1.9152,0.54685,0.42605,0.17925,0.11891,7.9384,11.1937,2.0189,2.0925,6.2977,5.1388
COMP 06,1.342,1.3127,1.3127,0.39727,0.31255,0.13496,0.088965,4.9231,7.5281,1.1947,1.0307,3.98,3.3657
COMP 07,1.2906,1.2622,1.2622,0.39042,0.30845,0.13596,0.091284,4.7612,7.1659,1.1982,1.0348,3.7961,3.2344
COMP 08,1.2482,1.2212,1.2212,0.37116,0.29177,0.12499,0.082004,4.6804,7.0204,1.0913,0.84729,3.7304,3.258
COMP 09,1.8431,1.8026,1.8026,0.56693,0.45022,0.20474,0.14086,6.0379,9.2813,2.2725,2.5416,4.9015,4.1293
COMP 10,1.5741,1.5402,1.5402,0.49341,0.39209,0.17684,0.12002,4.9269,7.4999,1.5316,1.3381,3.909,3.3967
COMP 11,0.18394,0.17895,0.17895,0.051709,0.042203,0.023728,0.01815,0.90657,1.4393,1.4191,1.4016,0.8026,0.57395
COMP 12,0.16254,0.15748,0.15748,0.044949,0.036054,0.018614,0.013381,0.85345,1.3946,0.78472,0.69134,0.76276,0.56406
COMP 13,0.13289,0.12845,0.12845,0.035706,0.028239,0.013849,0.0097494,0.76081,1.2093,0.6126,0.55241,0.68757,0.49942
COMP 14,0.15746,0.15234,0.15234,0.042896,0.034022,0.016548,0.011814,0.86568,1.4212,0.79657,0.69821,0.76111,0.57056
COMP 15,0.15793,0.15281,0.15281,0.04303,0.034111,0.016768,0.01198,0.8737,1.4071,0.72215,0.66166,0.77296,0.582
COMP 16,1.9974,1.9541,1.9541,0.59728,0.48881,0.26493,0.20596,5.1189,8.3491,2.4046,6.9697,4.1522,3.4566
COMP 17,1.1817,1.1541,1.1541,0.32739,0.25768,0.11642,0.081364,5.1101,8.2343,1.2699,1.3433,3.9995,3.6095
COMP 18,1.4675,1.4344,1.4344,0.41969,0.33353,0.15501,0.10967,5.9282,9.5027,1.3885,1.8416,4.6733,4.2117
COMP 19,1.2625,1.2338,1.2338,0.35607,0.28136,0.12712,0.088236,5.4983,8.9041,1.2584,1.1982,4.3119,3.9596
COMP 20,1.5492,1.5145,1.5145,0.44165,0.35155,0.16602,0.11877,5.9103,9.7201,1.4654,2.2541,4.6852,4.1837
COMP 21,0.90383,0.88531,0.88531,0.26549,0.2236,0.13074,0.10253,1.4179,2.4325,1.1156,6.0191,1.2288,0.97882
COMP 22,0.24292,0.23746,0.23746,0.06819,0.055445,0.028521,0.021176,1.0917,1.7595,0.34306,0.71831,0.90468,0.74567
