Wavelength (nm)	Dilution Corrected Absorbance
230	2.416656
233	2.341793
236	2.274744
239	2.207227
242	2.150688
245	2.096105
248	2.045706
251	1.99744
254	1.954054
257	1.907307
260	1.85998
263	1.807978
266	1.751284
269	1.694347
272	1.634363
275	1.57555
278	1.517356
281	1.457072
284	1.397903
287	1.34117
290	1.291991
293	1.24521
296	1.205799
299	1.159835
302	1.115237
305	1.071996
308	1.031668
311	0.993187
314	0.9548401
317	0.919198
320	0.8841804
323	0.8495463
326	0.8164005
329	0.7856068
332	0.7556049
335	0.7271793
338	0.6994597
341	0.6719059
344	0.6459582
347	0.6209355
350	0.5972813
353	0.573585
356	0.5508885
359	0.5299693
362	0.5088943
365	0.4888135
368	0.4694637
371	0.4503445
374	0.4318874
377	0.4146032
380	0.398546
383	0.3836351
386	0.3685501
389	0.353784
392	0.3403588
395	0.3271751
398	0.3159271
401	0.3048375
404	0.294408
407	0.2841759
410	0.2744117
413	0.2649254
416	0.2563835
419	0.248672
422	0.2410886
425	0.2346725
428	0.2283252
431	0.2220599
434	0.2162546
437	0.2110848
440	0.2059649
443	0.201157
446	0.1966008
449	0.1923465
452	0.1886966
455	0.1849976
458	0.181707
461	0.1786434
464	0.1752959
467	0.1722563
470	0.1691793
473	0.1661682
476	0.1631175
479	0.1594675
482	0.1563128
485	0.1532158
488	0.1500164
491	0.1469328
494	0.1440907
497	0.140846
500	0.1378344
503	0.1347804
506	0.1284767
509	0.1292813
512	0.1265656
515	0.1239116
518	0.1211221
521	0.1185042
524	0.115985
527	0.1135376
530	0.1111658
533	0.109021
536	0.1067688
539	0.104641
542	0.1025738
545	0.1007961
548	0.09682159
551	0.09744075
554	0.09586232
557	0.09402392
560	0.0925226
563	0.09093214
566	0.08936141
569	0.08774639
572	0.0863621
575	0.08494618
578	0.08360091
581	0.08233554
584	0.08104862
587	0.08008228
590	0.07884812
593	0.07779833
596	0.07698645
599	0.07597466
602	0.07488315
605	0.07388808
608	0.07254296
611	0.0715188
614	0.07040069
617	0.06907749
620	0.06787398
623	0.06659207
626	0.06549297
629	0.06437442
632	0.06304498
635	0.06180897
638	0.06087643
641	0.05971544
644	0.05858795
647	0.05768485
650	0.05636414
653	0.05543745
656	0.05467738
659	0.05355967
662	0.05245624
665	0.05169497
668	0.05079245
671	0.05010589
674	0.04922874
677	0.0481775
680	0.04765547
683	0.04693853
686	0.04605354
689	0.04531794
692	0.04452018
695	0.04374101
698	0.04324259
701	0.04274706
704	0.0427452
707	0.04293515
710	0.04195605
713	0.04084838
716	0.03960575
719	0.03842876
722	0.03799705
725	0.03837277
728	0.03905017
731	0.03981979
734	0.04005409
737	0.03969851
740	0.03927369
743	0.03865879
746	0.03799743
749	0.03754827
752	0.03690104
755	0.03648965
758	0.03656864
761	0.03561304
764	0.03550114
767	0.03563927
770	0.03469591
773	0.03460211
776	0.03379683
779	0.03397576
782	0.03393361
785	0.0335573
788	0.03284834
791	0.03292868
794	0.03248673
797	0.03251373
800	0.03187454
