Wavelength (nm)	Dilution Corrected Absorbance
230	2.234645
233	2.147581
236	2.069867
239	1.993132
242	1.929931
245	1.870261
248	1.818315
251	1.770096
254	1.727964
257	1.68326
260	1.637328
263	1.587123
266	1.533474
269	1.480405
272	1.426236
275	1.374288
278	1.324802
281	1.275223
284	1.22734
287	1.180747
290	1.14008
293	1.100993
296	1.067444
299	1.026533
302	0.9855939
305	0.9450196
308	0.9067155
311	0.8701601
314	0.8339392
317	0.8004203
320	0.7676455
323	0.7354354
326	0.7042974
329	0.6754199
332	0.6467449
335	0.619645
338	0.592909
341	0.5664467
344	0.5411169
347	0.5164577
350	0.4929951
353	0.4694283
356	0.4465664
359	0.4254543
362	0.4041001
365	0.3837585
368	0.3640965
371	0.3448201
374	0.3260366
377	0.3086041
380	0.2924915
383	0.2775475
386	0.2626125
389	0.2478964
392	0.234593
395	0.2216918
398	0.2107666
401	0.2000274
404	0.1898312
407	0.1798688
410	0.1707116
413	0.1617826
416	0.1537442
419	0.1465325
422	0.1394507
425	0.1333336
428	0.12766
431	0.1217957
434	0.1165318
437	0.1117632
440	0.1071355
443	0.1027033
446	0.09865
449	0.09492609
452	0.09154869
455	0.08837097
458	0.08543401
461	0.08265962
464	0.07982806
467	0.07748739
470	0.07508967
473	0.07263014
476	0.07028322
479	0.06780326
482	0.06571601
485	0.06379145
488	0.06159567
491	0.05973098
494	0.05814739
497	0.05614649
500	0.05429173
503	0.05256242
506	0.0477167
509	0.04964425
512	0.0480816
515	0.04668403
518	0.04523505
521	0.04390279
524	0.04265993
527	0.04132903
530	0.04017957
533	0.03901874
536	0.03785392
539	0.03678427
542	0.03579744
545	0.03471848
548	0.03378564
551	0.03288526
554	0.03199416
557	0.03108345
560	0.03017655
563	0.02951184
566	0.02876419
569	0.02795357
572	0.02741382
575	0.02668619
578	0.02601134
581	0.02552997
584	0.02476397
587	0.02408987
590	0.02353663
593	0.02294231
596	0.02232382
599	0.02168789
602	0.02106288
605	0.02061941
608	0.02005556
611	0.01952636
614	0.01905849
617	0.0185253
620	0.01808134
623	0.01754066
626	0.01720607
629	0.01675056
632	0.01634865
635	0.01597529
638	0.01553325
641	0.0151322
644	0.01475923
647	0.01449433
650	0.01404466
653	0.01373977
656	0.01326039
659	0.01285086
662	0.01255562
665	0.01221635
668	0.01196228
671	0.01173459
674	0.01133051
677	0.01113771
680	0.01078328
683	0.01037227
686	0.0101882
689	0.009981158
692	0.009690813
695	0.009488794
698	0.009231552
701	0.009175593
704	0.009550392
707	0.00933746
710	0.009119479
713	0.008739792
716	0.008359255
719	0.00784179
722	0.007658059
725	0.007643564
728	0.007631296
731	0.007646791
734	0.007588987
737	0.007438773
740	0.00714077
743	0.00705163
746	0.006774251
749	0.006640338
752	0.006736816
755	0.006645222
758	0.006391713
761	0.006356887
764	0.006362464
767	0.006424762
770	0.006144165
773	0.006327221
776	0.006455622
779	0.006543905
782	0.006486624
785	0.006316104
788	0.006095347
791	0.006146498
794	0.005988478
797	0.005899828
800	0.005843089
