Wavelength (nm)	Dilution Corrected Absorbance
230	0.272721
233	0.2371311
236	0.2083213
239	0.1834324
242	0.1674213
245	0.1571227
248	0.1538389
251	0.1558575
254	0.1613182
257	0.1692112
260	0.1779343
263	0.1865029
266	0.192865
269	0.1951198
272	0.1928493
275	0.1866018
278	0.1772332
281	0.164167
284	0.1487003
287	0.1333567
290	0.119515
293	0.1089377
296	0.1001844
299	0.09312444
302	0.0872826
305	0.08208711
308	0.07755499
311	0.07351681
314	0.06983531
317	0.066831
320	0.06426512
323	0.0620943
326	0.06022798
329	0.0586304
332	0.05710237
335	0.05568246
338	0.0542528
341	0.05279311
344	0.05130129
347	0.04974084
350	0.04810786
353	0.04630658
356	0.0443599
359	0.0423917
362	0.0402156
365	0.03793324
368	0.03559074
371	0.03314408
374	0.03064124
377	0.0282713
380	0.02605332
383	0.02402989
386	0.02206069
389	0.02023046
392	0.01869019
395	0.01727995
398	0.01620533
401	0.01525601
404	0.01444086
407	0.01373654
410	0.01313498
413	0.01260168
416	0.01216028
419	0.01178288
422	0.01141453
425	0.01110478
428	0.01080947
431	0.01051729
434	0.01025089
437	0.01001768
440	0.009790387
443	0.009570669
446	0.00935951
449	0.009160004
452	0.008953521
455	0.008778988
458	0.00859626
461	0.008406772
464	0.008215685
467	0.008054104
470	0.007878456
473	0.007682783
476	0.007505883
479	0.007306552
482	0.007117054
485	0.006948551
488	0.006724029
491	0.006548409
494	0.006378331
497	0.006176883
500	0.005981391
503	0.005786297
506	0.005153697
509	0.005428622
512	0.005247623
515	0.005076637
518	0.004894346
521	0.004708507
524	0.004546332
527	0.004374431
530	0.004221
533	0.004072
536	0.00392339
539	0.003786843
542	0.003659028
545	0.00352288
548	0.003415021
551	0.003297273
554	0.003204143
557	0.003097271
560	0.003006405
563	0.002927263
566	0.002829536
569	0.002751913
572	0.002686751
575	0.002617051
578	0.0025372
581	0.00247736
584	0.002399649
587	0.002336574
590	0.002273921
593	0.002200637
596	0.002133069
599	0.002077212
602	0.002023206
605	0.001967808
608	0.001913428
611	0.001851599
614	0.00181604
617	0.001749037
620	0.001701378
623	0.001648482
626	0.001590385
629	0.001546454
632	0.001505168
635	0.001469119
638	0.001427712
641	0.001405645
644	0.0013722
647	0.001346632
650	0.001299875
653	0.001266736
656	0.001245784
659	0.001232425
662	0.001219593
665	0.001200458
668	0.001164179
671	0.001150345
674	0.001125781
677	0.001092174
680	0.001057693
683	0.001015925
686	0.0009988703
689	0.0009541995
692	0.0009357184
695	0.0009139255
698	0.0008779671
701	0.0008406474
704	0.0008463082
707	0.0008705161
710	0.0008434502
713	0.0008174252
716	0.0007986378
719	0.0007673995
722	0.0007648879
725	0.000764064
728	0.0007617538
731	0.000752845
734	0.0007333673
737	0.0007115494
740	0.0007026168
743	0.0006911236
746	0.000659236
749	0.0006727586
752	0.0006765672
755	0.0006781482
758	0.0006304699
761	0.0006448374
764	0.0006414635
767	0.0006467294
770	0.0006142988
773	0.0006229494
776	0.0006092073
779	0.0006233795
782	0.0006212129
785	0.0006170137
788	0.0006232823
791	0.0006417848
794	0.000613822
797	0.0006117653
800	0.0005959168
