Wavelength (nm)	Dilution Corrected Absorbance
230	0.7007037
233	0.679082
236	0.6622571
239	0.6468408
242	0.6333462
245	0.6194786
248	0.607514
251	0.5948299
254	0.5826313
257	0.5692312
260	0.5552548
263	0.5397947
266	0.5228986
269	0.5057367
272	0.4872578
275	0.4690094
278	0.450846
281	0.4315618
284	0.4130545
287	0.3944767
290	0.3787592
293	0.3666086
296	0.3524883
299	0.3383159
302	0.324796
305	0.311886
308	0.2999269
311	0.2886896
314	0.2775759
317	0.2673794
320	0.2574762
323	0.2477283
326	0.2384902
329	0.2299934
332	0.2217711
335	0.2140694
338	0.2065791
341	0.199292
344	0.1924261
347	0.1858991
350	0.179777
353	0.1736869
356	0.167806
359	0.1624446
362	0.1569579
365	0.1518386
368	0.1467914
371	0.1417769
374	0.1368636
377	0.1322052
380	0.1278622
383	0.1237332
386	0.1196069
389	0.115491
392	0.1116723
395	0.1080169
398	0.1048185
401	0.1017538
404	0.09871545
407	0.09577463
410	0.09298357
413	0.09023312
416	0.0877022
419	0.08536865
422	0.08305524
425	0.08098484
428	0.07901384
431	0.07697294
434	0.07505309
437	0.07334669
440	0.07163547
443	0.07005514
446	0.06858184
449	0.06710637
452	0.06580345
455	0.0644277
458	0.06317806
461	0.06207104
464	0.06085749
467	0.05983978
470	0.05879352
473	0.05771223
476	0.05665107
479	0.0554976
482	0.05446376
485	0.05345039
488	0.05239469
491	0.0513573
494	0.05038803
497	0.04940065
500	0.04838739
503	0.04746883
506	0.04487486
509	0.04563567
512	0.04476257
515	0.04391558
518	0.0430192
521	0.04223343
524	0.04151033
527	0.04070865
530	0.03993977
533	0.0392618
536	0.03854958
539	0.03787158
542	0.03719063
545	0.0365864
548	0.03590562
551	0.03538491
554	0.03483199
557	0.03429182
560	0.03379465
563	0.03325965
566	0.0327636
569	0.03225193
572	0.03176749
575	0.031207
578	0.03082739
581	0.03040436
584	0.02996496
587	0.02948965
590	0.0290892
593	0.02878155
596	0.02834462
599	0.02792371
602	0.02757202
605	0.02721682
608	0.02677512
611	0.02641867
614	0.02608939
617	0.02569591
620	0.02527292
623	0.02487357
626	0.02457476
629	0.02413046
632	0.02369438
635	0.02337729
638	0.02301322
641	0.02263663
644	0.02230673
647	0.02197403
650	0.02164258
653	0.02130735
656	0.02100164
659	0.02076814
662	0.02049155
665	0.02018277
668	0.0199027
671	0.01966529
674	0.01940892
677	0.01913924
680	0.01888062
683	0.01865282
686	0.01843475
689	0.01814502
692	0.01792669
695	0.0176891
698	0.01738429
701	0.01719764
704	0.01698582
707	0.01702439
710	0.01690751
713	0.01682241
716	0.01669195
719	0.01633914
722	0.01594571
725	0.0157228
728	0.01560464
731	0.0154804
734	0.01515088
737	0.0150707
740	0.01496808
743	0.01475996
746	0.01451565
749	0.01453601
752	0.0144906
755	0.01424992
758	0.01408552
761	0.01422839
764	0.01403445
767	0.01377848
770	0.01381547
773	0.01397262
776	0.01360654
779	0.01320318
782	0.01339631
785	0.01358071
788	0.01311742
791	0.01312746
794	0.01315757
797	0.01298079
800	0.01281312
