Wavelength (nm)	Dilution Corrected Absorbance
230	1.890476
233	1.828325
236	1.772672
239	1.717729
242	1.672054
245	1.627457
248	1.588528
251	1.549161
254	1.514462
257	1.477414
260	1.438996
263	1.396636
266	1.350646
269	1.304513
272	1.256206
275	1.209366
278	1.163951
281	1.117533
284	1.073603
287	1.031835
290	0.9946968
293	0.9598056
296	0.9260433
299	0.8949033
302	0.8602483
305	0.8262059
308	0.7942164
311	0.7636361
314	0.7329072
317	0.7042614
320	0.6761551
323	0.6482435
326	0.6213053
329	0.5964054
332	0.5717833
335	0.5485658
338	0.5259151
341	0.5033775
344	0.4818638
347	0.4613226
350	0.4416452
353	0.4221877
356	0.4032402
359	0.3858649
362	0.3683166
365	0.3515516
368	0.3353889
371	0.319574
374	0.3040349
377	0.2896837
380	0.2762943
383	0.2638159
386	0.2512069
389	0.2388479
392	0.2276722
395	0.2167875
398	0.2074773
401	0.1984126
404	0.1897968
407	0.1815083
410	0.1736416
413	0.1660167
416	0.1591255
419	0.1529582
422	0.1468497
425	0.1414489
428	0.1365508
431	0.1315723
434	0.1269885
437	0.1228257
440	0.1187699
443	0.1150559
446	0.1115167
449	0.1082992
452	0.1052243
455	0.1024388
458	0.0997678
461	0.09742935
464	0.09492576
467	0.09272203
470	0.09048667
473	0.08828104
476	0.08597887
479	0.08365481
482	0.08158286
485	0.07966692
488	0.07740194
491	0.07544787
494	0.07360375
497	0.07169966
500	0.06979775
503	0.06789197
506	0.06383054
509	0.0647285
512	0.06301315
515	0.06137421
518	0.05974081
521	0.05821914
524	0.05671168
527	0.05518324
530	0.05382517
533	0.05252943
536	0.05123367
539	0.05000553
542	0.04884411
545	0.0476281
548	0.04654587
551	0.04560384
554	0.04461632
557	0.04359401
560	0.04262017
563	0.04168145
566	0.04077913
569	0.03974533
572	0.03896395
575	0.03817935
578	0.03734399
581	0.03668128
584	0.03588736
587	0.03526595
590	0.03454468
593	0.03402294
596	0.03338801
599	0.0328538
602	0.03216464
605	0.03160141
608	0.03107697
611	0.03040193
614	0.02986391
617	0.02933289
620	0.0286929
623	0.02815137
626	0.0275534
629	0.02691653
632	0.02632857
635	0.02567639
638	0.02505659
641	0.02428222
644	0.02377821
647	0.02323646
650	0.02282173
653	0.02245469
656	0.02202419
659	0.0216049
662	0.02116181
665	0.02061022
668	0.02019804
671	0.01976926
674	0.01947174
677	0.01915745
680	0.01881741
683	0.01861468
686	0.01826494
689	0.01782529
692	0.01748682
695	0.01715103
698	0.0168325
701	0.01664006
704	0.01661744
707	0.01632564
710	0.0159969
713	0.01543601
716	0.01505031
719	0.01459515
722	0.01440064
725	0.01431261
728	0.01436614
731	0.01424254
734	0.01399241
737	0.01371151
740	0.0134629
743	0.01329701
746	0.01315996
749	0.0131793
752	0.01311188
755	0.01292016
758	0.01277184
761	0.01258151
764	0.01248173
767	0.01237927
770	0.01212713
773	0.01214804
776	0.01219767
779	0.01245654
782	0.01242246
785	0.01238557
788	0.01221293
791	0.0120678
794	0.01198167
797	0.01195515
800	0.01196956
